Date,Net Clicks,Install Clicks,Uninstall Clicks,Update Clicks
2020-09-22,0,0,0,0
2020-09-23,0,0,0,0
2020-09-24,0,0,0,0
2020-09-25,0,0,0,0
2020-09-26,0,0,0,0
2020-09-27,0,0,0,0
2020-09-28,0,0,0,0
2020-09-29,0,0,0,0
2020-09-30,0,0,0,0
2020-10-01,0,0,0,0
2020-10-02,0,0,0,0
2020-10-03,0,0,0,0
2020-10-04,0,0,0,0
2020-10-05,0,0,0,0
2020-10-06,0,0,0,0
2020-10-07,0,0,0,0
2020-10-08,0,0,0,0
2020-10-09,0,0,0,0
2020-10-10,0,0,0,0
2020-10-11,0,0,0,0
2020-10-12,0,0,0,0
2020-10-13,0,0,0,0
2020-10-14,0,0,0,0
2020-10-15,0,0,0,0
2020-10-16,0,0,0,0
2020-10-17,0,0,0,0
2020-10-18,0,0,0,0
2020-10-19,0,0,0,0
2020-10-20,0,0,0,0
2020-10-21,0,0,0,0
2020-10-22,0,0,0,0
2020-10-23,1,1,0,0
2020-10-24,49,49,0,0
2020-10-25,70,70,0,0
2020-10-26,58,58,0,0
2020-10-27,32,32,0,0
2020-10-28,31,31,0,0
2020-10-29,47,47,0,0
2020-10-30,72,72,0,0
2020-10-31,53,53,0,0
2020-11-01,63,63,0,0
2020-11-02,38,38,0,0
2020-11-03,33,33,0,0
2020-11-04,23,23,0,0
2020-11-05,41,41,0,0
2020-11-06,22,22,0,0
2020-11-07,30,30,0,0
2020-11-08,39,39,0,0
2020-11-09,33,33,0,0
2020-11-10,43,43,0,0
2020-11-11,23,23,0,0
2020-11-12,26,26,0,0
2020-11-13,26,26,0,0
2020-11-14,45,45,0,0
2020-11-15,34,34,0,0
2020-11-16,19,19,0,0
2020-11-17,35,35,0,0
2020-11-18,22,22,0,0
2020-11-19,22,22,0,0
2020-11-20,22,22,0,0
2020-11-21,28,28,0,0
2020-11-22,48,48,0,0
2020-11-23,23,23,0,0
2020-11-24,27,27,0,0
2020-11-25,33,33,0,0
2020-11-26,22,22,0,0
2020-11-27,33,33,0,0
2020-11-28,42,42,0,0
2020-11-29,28,28,0,0
2020-11-30,28,29,1,0
2020-12-01,16,26,10,0
